nodeId,row,col,depth,transactionsCount,hash,number,createdAt,merkleRoot,author,previousBlockHash,previousSecondBlockHash,commitmentHash,commitmentSecret
205,0,0,0,40,775cf0c95a879fb1501ea9a4ef77569ce11dfadf5501f42e95fd041abe131772,0,1747570800,f96f81290aad0e016aba2c9f35503fb1bb0ee0d8be1108b010c8cff42af2b9dc,0000000000000000000000000000000000000000,,,,
40,0,1,0,1001,0aa1920fe7e3d571d5f48c0e14ee5eae46e264bd8e4a85a86b04df33f9fa73e2,2,1747570920,2c72d87ff3cc353944044cd76dbd35001f4a80ea902c0fe4319c352e547e1519,9dfc8dcb1a1082491881ef0bef2a768a0eeaa95bf034cb04bd9619d7853fcaa4,775cf0c95a879fb1501ea9a4ef77569ce11dfadf5501f42e95fd041abe131772,,9fa9d25b65a8c743e07f51bd4ecc990dfbaa8b61111aff5d9aae52e6f165ca33,725f1a79c717cba75da51045a600826f8e70f8cfce7591f4644534467565ef
0,0,2,1,1001,7d6c5f8ae7cdc793346a35de160ffa42dfb5875134b57c0b61b7babc1c7951d0,3,1747570924,bf8f1adb559b3f1d20201a28ff7ce4c98811f75bbcdcc59c9d52d5376427f844,f5765a1b7ffe05a5fdcac3d93cc5bc3cf943a53385db5f4a220d9ca9b8aa1013,0aa1920fe7e3d571d5f48c0e14ee5eae46e264bd8e4a85a86b04df33f9fa73e2,,96cd5badc6227205cf63f8b21d450011184be66b4cddab4a673135195aec4d6a,3f99e489bf094c7d07adbce9c18d4a4417b0e94e29b33b2d3df12bc0fd8dda
45,4,2,1,1001,67c869704a1448b1f18bc4aeac8c9f18dec4b3852883746410dd4e21a92756ab,3,1747570924,30482eb2346ad966e918f804e6f5f4ddf720fd68dcf75543ddc6e67eaefa7e36,64063c6a8c8847371451f1de1c31025be892428db3088d26149a75f7900b3ff1,0aa1920fe7e3d571d5f48c0e14ee5eae46e264bd8e4a85a86b04df33f9fa73e2,,9d3374de06a76a2899a2bbab17fed469f762a9568e0507f391d72d8415751513,24329ca0f29bf1c6061b2024e670e75e8cb597f8b8428f107fd2c1d2eddee3
77,4,3,2,1001,d9c25898aa88c7608d8a85d588193e280a81fdce6d098c12b868079d5c3ce315,5,1747570929,26d18cb7f1c82fd6213ef16b14c5c4892b338d9884e0afbec7f03ae16ece6987,88eaa120fe70f0e87d920891cc17d7e94920386db3914253c3cf4b3dc2205dac,67c869704a1448b1f18bc4aeac8c9f18dec4b3852883746410dd4e21a92756ab,,bb7eb23dde45121eddddc8da13201defccb1079cad1ce44389dc04ec05bfa383,86792c86162606f43b86f6ee1abe3daa0c45024be41f8979d58287a5fc382d
40,6,3,2,1001,81c4928f39033c5698e2ff77291cb6f146017aeb98019a87b44e13c1c960f024,5,1747570929,32e624591debf978988d94df79fa29fde7ed3a79a2fda3291bdf8bba775e38bf,9dfc8dcb1a1082491881ef0bef2a768a0eeaa95bf034cb04bd9619d7853fcaa4,67c869704a1448b1f18bc4aeac8c9f18dec4b3852883746410dd4e21a92756ab,,746b29980e4b55982e27a6a902e79ffd0c698e5db69a67060517fc96962ddad2,725f1a79c717cba75da51045a600826f8e70f8cfce7591f4644534467565ef
117,0,3,2,1001,ef51c854086d91f5d53af1b0d8272890601fbefabbce1acd9cf546c55af789b0,7,1747570929,8c37d6819a5e61c4b439e98a9d85e3bc74a166e10668b9a0fb4c65f6152864ae,b105127328a0f6f9b54b38f1e30a26db28328cbedf7483ee1f8a0c19d67d54c5,7d6c5f8ae7cdc793346a35de160ffa42dfb5875134b57c0b61b7babc1c7951d0,,0e5f96edab9932f4112484f758316e39a178b9fcbba194977ffe95fd1e507310,e9f3019abda636b72bc531c424c0497d7ccc16937a9300abfeba4471c17bb7
201,2,3,2,1001,c80d1a59a6369657853d250fa1e1de322829bf90e6419a48f001aa58132247dc,7,1747570929,15a0d37ca10851396ea0a692ad419329ad7f526a7a9beb6f516dd66143624ba7,70e988ade3b9c74238be8bb10cb432fde98c8f1fd4bfbc4ee706d70b8b74c453,7d6c5f8ae7cdc793346a35de160ffa42dfb5875134b57c0b61b7babc1c7951d0,,20a3e78864a8624da373f62873cd8150189201c84660323bab1460de1a4507e8,87b14948f5eb932517a1a8cee0423f2967e2ce16ba59932b20f4dfc7f79f66
44,4,4,3,1001,bb39132512e92013582d85bd34fec9f9cbc576f235c02d802e5c67d817bca1dd,9,1747570932,7405981c7d9c87ee3cd9900acf010958df785ea2114af363a12cc7ee0cd9a1f1,aea3ea11add50b6cfc58ebe24ee26ac1a65a03ceea240d3df9e4a2292adc2427,d9c25898aa88c7608d8a85d588193e280a81fdce6d098c12b868079d5c3ce315,,4840b3a6831c56499ab000352f5e0912e33eec2911888e1bde426518585626e7,00f981716a3a376ad91424e7045a72e7b9e8821cc35546997e9b668771c618
18,2,4,3,1001,984e5d1baea9b20184682535ef0fa3d9dfb1f4cd539b6e111a34a938bf0e8fec,9,1747570933,d2ba9b8ab1845be6027658ee6c7b659a198b82e803f051da2527b525dbbf8e98,20034a64994de62feafaf0f836fb163fd6f179d3a9cb38a61157fa477ccfedcd,c80d1a59a6369657853d250fa1e1de322829bf90e6419a48f001aa58132247dc,,6b8bc05af47823a19f4ae6d0b8ebdbe17478e84e199ed47f3d03ce99621f7a8d,a4ecf4111ba418c98fa189af9e7482cf3ea1617e28af223ad2111a7cbef26c
202,0,4,3,1001,7d6f4f2181f47ef52a84f7bf5e5ba21a2883133d5ac5e00008f1e2072526e445,10,1747570933,7a8dd01a33a7311de19988682ff6575410bbf8e81941ef695d6a215f661df79e,b5cfa2ef1f5563a5de82758b5a8d7259849748511c1aefa407c22810dea81fb9,ef51c854086d91f5d53af1b0d8272890601fbefabbce1acd9cf546c55af789b0,,49b2172e9b6df6ed6786b79e8356ba7145187cfcbe45e2ee247992692ad6c5b8,e138fcc47d5ea6eb901873634a60fce14f167121872a03de6986b852c5f69e
67,6,4,3,1001,33e35ae871b0f33d7f1f309bf62e4f3110bd3743786ec4bca5a14aaaffd1c8a4,11,1747570933,eb6fa086d04d4fe8c3861143360d21a191a35e10241ba5683fb77dc587f293f0,f2a17f6d6ee9695cf39082915e3a3e978a0bf850a4c749566f23ae7f40a26751,81c4928f39033c5698e2ff77291cb6f146017aeb98019a87b44e13c1c960f024,,45e8cff1d777f47e3a179d796038bfad15b06b9d2d582fa964185ff36ec3e0af,4771d62dae2b0fdad298b83fc0fcae4e20438a8269f0f42b03295cb8f28b48
